arm,CL_amp_dns,CL_amp_nn,CL_amp_err_pct,CL_phase_err_deg,CL_phase_err_period,CL_relL2,CL_corr,CD_mean_err_pct,CD_amp_err_pct,CD_phase_err_deg,CD_relL2,CD_corr
1 baseline physics-only,0.3169073333038995,0.27957420551709194,-11.780455629597812,-4.7985160744881235,0.013329211318022567,0.14519814080121882,0.9964586462717139,0.6795087855887496,-15.230134141751808,-13.90986307967365,0.006943432614113449,0.9670865771921147
2 wall vorticity flux,0.3169073333038995,0.30606894450726074,-3.420049856102642,-6.352383124828674,0.017645508680079653,0.11651938302609911,0.9937372001484029,0.3130424501859656,-3.555489348195425,-13.463388694021296,0.0036072154490432583,0.9442662160811194
3 Karman prior,0.3169073333038995,0.29655638229676673,-6.4217355890648085,-5.649075874384568,0.01569187742884602,0.11748257368084153,0.995015193784475,-0.10898705478191702,-5.852349915031688,-8.678632320947157,0.0015542324360310394,0.9773549466372896
"16 prior, no inlet BC, no Adam",0.3169073333038995,0.3011089219742319,-4.985183260028141,-5.683012975938705,0.015786147155385292,0.11210945743622142,0.9949316812806511,-6.829561498097117,-16.84973526368998,-17.54834759282871,0.06822400290024419,0.7629802491403617
