arm,Nmodes,k_trained,exit_code,wall_h,cold_start,lbfgs_s,lbfgs_evals,lbfgs_converged,lbfgs_final_loss,adam_s,adam_iters,adam_final_loss,adam_helped,far_core_amp,far_core_corr,far_core_relL2,whole_amp,E_v_whole,k2_reference,k2_value,change_vs_k2_pct,comparability
baseline_physics_only,4,"0,1,2,3",0,9.01,True,13643,5503,yes,0.0003,18271,4100,0.0002965,improved 1.2%,0.01895,0.16036,0.99744,0.0466,0.80356,E3F,0.01852,2.3,"matched: cold, Tmax 9, Nint 50000, Adam ran"
boundary_vorticity_flux,4,"0,1,2,3",0,9.01,True,22392,24307,yes,6.521e-05,9550,6200,0.0001078,WORSENED 65.3%,0.08945,0.10809,0.99458,0.12289,0.84377,"R3 (FIBC+BVF, matched)",0.01718,420.7,matched on FIBC; R2 (0.15027) is NOT matched - it lacks --FluctuationInletBC. R3 L-BFGS 8.9h vs 6.2h here.
karman_prior,4,"0,1,2,3",0,9.01,True,5324,6056,yes,0.001207,26319,18600,0.001146,improved 5.1%,0.80878,0.97159,0.29477,0.86231,0.37678,analytical prior alone,0.8082,0.1,"R15 (0.83166) is NOT matched: warm start, Nint 25000, Adam skipped"
