method,region,metric_group,quantity,metric,value
pressure_and_velocity_probes_physics,other,v1_mode,v,n,6298
pressure_and_velocity_probes_physics,other,v1_mode,v,rel_L2,0.8677567507567795
pressure_and_velocity_probes_physics,other,v1_mode,v,amp_ratio,1.2299839417400915
pressure_and_velocity_probes_physics,other,v1_mode,v,corr,0.8686440265311218
pressure_and_velocity_probes_physics,other,v1_mode,v,phase_deg,34.55507058730413
pressure_and_velocity_probes_physics,whole-domain,v1_mode,v,n,51654
pressure_and_velocity_probes_physics,whole-domain,v1_mode,v,rel_L2,0.35058666901840874
pressure_and_velocity_probes_physics,whole-domain,v1_mode,v,amp_ratio,0.9072114335804581
pressure_and_velocity_probes_physics,whole-domain,v1_mode,v,corr,0.9909792038636737
pressure_and_velocity_probes_physics,whole-domain,v1_mode,v,phase_deg,18.997370886695442
dense_observations,near-cylinder,field,u,rel_L2,0.005857582204043865
dense_observations,near-cylinder,field,v,rel_L2,0.011175346560776234
dense_observations,near-cylinder,field,p,rel_L2,0.006173023488372564
dense_observations,near-wake,field,u,rel_L2,0.006636717356741428
dense_observations,near-wake,field,v,rel_L2,0.023743093013763428
dense_observations,near-wake,field,p,rel_L2,0.006936534307897091
dense_observations,far-wake,field,u,rel_L2,0.009232824668288231
dense_observations,far-wake,field,v,rel_L2,0.050979506224393845
dense_observations,far-wake,field,p,rel_L2,0.03862603381276131
dense_observations,far-core,field,u,rel_L2,0.01101873442530632
dense_observations,far-core,field,v,rel_L2,0.051149044185876846
dense_observations,far-core,field,p,rel_L2,0.03806442767381668
dense_observations,other,field,u,rel_L2,0.01554125640541315
dense_observations,other,field,v,rel_L2,0.029023269191384315
dense_observations,other,field,p,rel_L2,0.0482742115855217
dense_observations,whole-domain,field,u,rel_L2,0.00953542347997427
dense_observations,whole-domain,field,v,rel_L2,0.035622913390398026
dense_observations,whole-domain,field,p,rel_L2,0.014309391379356384
dense_observations,near-cylinder,v1_mode,v,n,13715
dense_observations,near-cylinder,v1_mode,v,rel_L2,0.2900525660366421
dense_observations,near-cylinder,v1_mode,v,amp_ratio,0.9827298626073141
dense_observations,near-cylinder,v1_mode,v,corr,0.9979052572744116
dense_observations,near-cylinder,v1_mode,v,phase_deg,16.391292836749084
dense_observations,near-wake,v1_mode,v,n,15248
dense_observations,near-wake,v1_mode,v,rel_L2,0.290385681521927
dense_observations,near-wake,v1_mode,v,amp_ratio,0.9997801193904153
dense_observations,near-wake,v1_mode,v,corr,0.9999758327901721
dense_observations,near-wake,v1_mode,v,phase_deg,16.694120425607792
dense_observations,far-wake,v1_mode,v,n,16393
dense_observations,far-wake,v1_mode,v,rel_L2,0.29161650961543406
dense_observations,far-wake,v1_mode,v,amp_ratio,0.998758364713344
dense_observations,far-wake,v1_mode,v,corr,0.9999884019585399
dense_observations,far-wake,v1_mode,v,phase_deg,16.77630989304969
dense_observations,far-core,v1_mode,v,n,12460
dense_observations,far-core,v1_mode,v,rel_L2,0.2916322559594349
dense_observations,far-core,v1_mode,v,amp_ratio,0.9988140121437291
dense_observations,far-core,v1_mode,v,corr,0.9999895064533587
dense_observations,far-core,v1_mode,v,phase_deg,16.77697502641174
dense_observations,other,v1_mode,v,n,6298
dense_observations,other,v1_mode,v,rel_L2,0.36630485025394927
dense_observations,other,v1_mode,v,amp_ratio,0.9987205588786898
dense_observations,other,v1_mode,v,corr,0.9806191254196367
dense_observations,other,v1_mode,v,phase_deg,17.961948689003684
dense_observations,whole-domain,v1_mode,v,n,51654
dense_observations,whole-domain,v1_mode,v,rel_L2,0.2912330267005005
dense_observations,whole-domain,v1_mode,v,amp_ratio,0.998895985051201
dense_observations,whole-domain,v1_mode,v,corr,0.9999537878169675
dense_observations,whole-domain,v1_mode,v,phase_deg,16.746362918446433
