method,sampling,region,metric_group,quantity,metric,value
wake_biased_random_collocation,wake_biased_random,near-cylinder,v1_mode,v,phase_deg,19.750295796591907
wake_biased_random_collocation,wake_biased_random,near-wake,v1_mode,v,n,15248
wake_biased_random_collocation,wake_biased_random,near-wake,v1_mode,v,rel_L2,1.155914744321766
wake_biased_random_collocation,wake_biased_random,near-wake,v1_mode,v,amp_ratio,0.3548117854800211
wake_biased_random_collocation,wake_biased_random,near-wake,v1_mode,v,corr,0.3809066036053888
wake_biased_random_collocation,wake_biased_random,near-wake,v1_mode,v,phase_deg,141.0622544277719
wake_biased_random_collocation,wake_biased_random,far-wake,v1_mode,v,n,16393
wake_biased_random_collocation,wake_biased_random,far-wake,v1_mode,v,rel_L2,1.0312184396025617
wake_biased_random_collocation,wake_biased_random,far-wake,v1_mode,v,amp_ratio,0.3416872175712518
wake_biased_random_collocation,wake_biased_random,far-wake,v1_mode,v,corr,0.07985304680434638
wake_biased_random_collocation,wake_biased_random,far-wake,v1_mode,v,phase_deg,12.19225784884321
wake_biased_random_collocation,wake_biased_random,far-core,v1_mode,v,n,12460
wake_biased_random_collocation,wake_biased_random,far-core,v1_mode,v,rel_L2,1.0155582520125346
wake_biased_random_collocation,wake_biased_random,far-core,v1_mode,v,amp_ratio,0.297519185619696
wake_biased_random_collocation,wake_biased_random,far-core,v1_mode,v,corr,0.09632718719776649
wake_biased_random_collocation,wake_biased_random,far-core,v1_mode,v,phase_deg,4.27226618338036
wake_biased_random_collocation,wake_biased_random,other,v1_mode,v,n,6298
wake_biased_random_collocation,wake_biased_random,other,v1_mode,v,rel_L2,7.954673291655135
wake_biased_random_collocation,wake_biased_random,other,v1_mode,v,amp_ratio,8.007982411261445
wake_biased_random_collocation,wake_biased_random,other,v1_mode,v,corr,0.3270271006936872
wake_biased_random_collocation,wake_biased_random,other,v1_mode,v,phase_deg,-69.30495821258312
wake_biased_random_collocation,wake_biased_random,whole-domain,v1_mode,v,n,51654
wake_biased_random_collocation,wake_biased_random,whole-domain,v1_mode,v,rel_L2,1.0748573783250188
wake_biased_random_collocation,wake_biased_random,whole-domain,v1_mode,v,amp_ratio,0.3742567313856842
wake_biased_random_collocation,wake_biased_random,whole-domain,v1_mode,v,corr,0.08939380398089558
wake_biased_random_collocation,wake_biased_random,whole-domain,v1_mode,v,phase_deg,103.17428687784302
wake_biased_grid_collocation,wake_biased_grid,near-cylinder,field,u,rel_L2,0.040269918739795685
wake_biased_grid_collocation,wake_biased_grid,near-cylinder,field,v,rel_L2,0.06681849807500839
wake_biased_grid_collocation,wake_biased_grid,near-cylinder,field,p,rel_L2,0.013863309286534786
wake_biased_grid_collocation,wake_biased_grid,near-wake,field,u,rel_L2,0.2698085904121399
wake_biased_grid_collocation,wake_biased_grid,near-wake,field,v,rel_L2,1.0854411125183105
wake_biased_grid_collocation,wake_biased_grid,near-wake,field,p,rel_L2,0.6471562385559082
wake_biased_grid_collocation,wake_biased_grid,far-wake,field,u,rel_L2,0.41121721267700195
wake_biased_grid_collocation,wake_biased_grid,far-wake,field,v,rel_L2,1.01149582862854
wake_biased_grid_collocation,wake_biased_grid,far-wake,field,p,rel_L2,2.26597261428833
wake_biased_grid_collocation,wake_biased_grid,far-core,field,u,rel_L2,0.47896260023117065
wake_biased_grid_collocation,wake_biased_grid,far-core,field,v,rel_L2,1.0016849040985107
wake_biased_grid_collocation,wake_biased_grid,far-core,field,p,rel_L2,1.690771460533142
wake_biased_grid_collocation,wake_biased_grid,other,field,u,rel_L2,0.06791877746582031
wake_biased_grid_collocation,wake_biased_grid,other,field,v,rel_L2,0.320595383644104
wake_biased_grid_collocation,wake_biased_grid,other,field,p,rel_L2,0.4341524541378021
wake_biased_grid_collocation,wake_biased_grid,whole-domain,field,u,rel_L2,0.3043895959854126
wake_biased_grid_collocation,wake_biased_grid,whole-domain,field,v,rel_L2,0.818276584148407
wake_biased_grid_collocation,wake_biased_grid,whole-domain,field,p,rel_L2,0.567595362663269
wake_biased_grid_collocation,wake_biased_grid,near-cylinder,v1_mode,v,n,13715
wake_biased_grid_collocation,wake_biased_grid,near-cylinder,v1_mode,v,rel_L2,0.5063656730715622
wake_biased_grid_collocation,wake_biased_grid,near-cylinder,v1_mode,v,amp_ratio,0.6950252000687046
wake_biased_grid_collocation,wake_biased_grid,near-cylinder,v1_mode,v,corr,0.9379387042510122
wake_biased_grid_collocation,wake_biased_grid,near-cylinder,v1_mode,v,phase_deg,19.80643948180544
wake_biased_grid_collocation,wake_biased_grid,near-wake,v1_mode,v,n,15248
wake_biased_grid_collocation,wake_biased_grid,near-wake,v1_mode,v,rel_L2,1.1325452694976128
wake_biased_grid_collocation,wake_biased_grid,near-wake,v1_mode,v,amp_ratio,0.32200405155592055
wake_biased_grid_collocation,wake_biased_grid,near-wake,v1_mode,v,corr,0.38508861017471396
wake_biased_grid_collocation,wake_biased_grid,near-wake,v1_mode,v,phase_deg,136.19182535862126
wake_biased_grid_collocation,wake_biased_grid,far-wake,v1_mode,v,n,16393
wake_biased_grid_collocation,wake_biased_grid,far-wake,v1_mode,v,rel_L2,1.017530787752042
wake_biased_grid_collocation,wake_biased_grid,far-wake,v1_mode,v,amp_ratio,0.2914891063782595
wake_biased_grid_collocation,wake_biased_grid,far-wake,v1_mode,v,corr,0.08550897206953298
wake_biased_grid_collocation,wake_biased_grid,far-wake,v1_mode,v,phase_deg,5.773514591967641
wake_biased_grid_collocation,wake_biased_grid,far-core,v1_mode,v,n,12460
wake_biased_grid_collocation,wake_biased_grid,far-core,v1_mode,v,rel_L2,1.0062138013440256
wake_biased_grid_collocation,wake_biased_grid,far-core,v1_mode,v,amp_ratio,0.2540404938001508
wake_biased_grid_collocation,wake_biased_grid,far-core,v1_mode,v,corr,0.1025551669493125
wake_biased_grid_collocation,wake_biased_grid,far-core,v1_mode,v,phase_deg,-2.129118626939099
wake_biased_grid_collocation,wake_biased_grid,other,v1_mode,v,n,6298
wake_biased_grid_collocation,wake_biased_grid,other,v1_mode,v,rel_L2,7.963548166781833
wake_biased_grid_collocation,wake_biased_grid,other,v1_mode,v,amp_ratio,8.0041741630979
wake_biased_grid_collocation,wake_biased_grid,other,v1_mode,v,corr,0.32042288726715434
wake_biased_grid_collocation,wake_biased_grid,other,v1_mode,v,phase_deg,-71.25118201616304
wake_biased_grid_collocation,wake_biased_grid,whole-domain,v1_mode,v,n,51654
wake_biased_grid_collocation,wake_biased_grid,whole-domain,v1_mode,v,rel_L2,1.0581457544918909
wake_biased_grid_collocation,wake_biased_grid,whole-domain,v1_mode,v,amp_ratio,0.33377241267689844
wake_biased_grid_collocation,wake_biased_grid,whole-domain,v1_mode,v,corr,0.09259638018562028
wake_biased_grid_collocation,wake_biased_grid,whole-domain,v1_mode,v,phase_deg,97.6873061232786
