accepted_iter,is_final,training_total_loss,training_physics_loss,training_pressure_tap_loss,training_modal_raw,p0_rel_L2,p1_rel_L2,p2_rel_L2,p1_corr,p1_amp_ratio,tap_time_mse_raw,tap_time_mse_projected,far_core_v1_rel_L2,far_core_v1_corr,far_core_v1_amp_ratio,far_wake_v1_rel_L2,far_wake_v1_corr,far_wake_v1_amp_ratio,uniform_NS_whole,uniform_NS_formation,uniform_NS_far_core,prior_deviation_rel_L2,prior_corr,radius_usage_p95,near_wake_E_u,near_wake_E_v,near_wake_E_p,far_wake_E_u,far_wake_E_v,far_wake_E_p,whole_E_u,whole_E_v,whole_E_p
0,False,0.07801738381385803,0.07771196961402893,0.0003054126864299178,2.340101480484009,0.0324985946330926,0.19568950027328058,2.64215223242265,0.9808646331379282,0.9651782726764977,0.00030542482389194674,0.00030538809174386215,0.28404427655261383,0.9736171152330142,0.8227091149222497,0.2909031719992074,0.9712035795752145,0.824321879808126,0.018897061829240273,0.02250334356020487,0.007727270148201619,0.10045699725796961,0.9951835225683158,0.2670978471636772,0.24033448827460305,0.8305402768486364,0.4690892619560888,0.13665523409955485,0.4344107573867033,1.4164312673181465,0.2316591280440539,0.5905528525605025,0.4097041592989049
250,False,0.006695182994008064,0.006627650000154972,6.753311754437163e-05,0.5172260403633118,0.7565322012933375,0.8169599007848386,0.558492621471249,0.743338253929189,0.3075566269014648,0.09917007611942363,0.09917003938727553,0.29295671224853503,0.9706343511248169,0.8108606721868944,0.3005183476932012,0.9680344164162679,0.8108506399736886,0.009823870348893676,0.005357875841302007,0.004810654017282387,0.10670107851799214,0.9951461730289758,0.26650323569774625,0.4204019247671881,0.7797325316975717,0.6197211080790497,0.1772946212254334,0.5322794571837764,2.125569567101946,0.3783183897820352,0.6975276197300151,0.8922849799946982
500,False,0.005185853689908981,0.005122710019350052,6.314348865998909e-05,0.48358821868896484,0.7629265709914551,0.7516932242292811,0.55105818875593,0.8980550748797554,0.3216975220690313,0.10062712130825073,0.10062708457610262,0.294721026744035,0.9712553349581783,0.8061863879001222,0.30045205818839815,0.9693276926656396,0.8067856602000517,0.008322314867230281,0.003687641198009222,0.003732780922710238,0.10421365107059971,0.9952631962463859,0.258006602525711,0.41639492009211954,0.6592472159004448,0.43350096928423,0.19485536009844442,0.5229031668010488,2.630001224459061,0.3904157716264932,0.6790982305909609,0.9692701158784321
1000,False,0.0037729984614998102,0.0037072899285703897,6.570852565346286e-05,0.503244161605835,0.7720290712138755,0.7824888926432445,0.5490123345993936,0.9740846312088419,0.35869422006909063,0.10308784130651272,0.10308780457436463,0.29313053130814265,0.9712899786523799,0.8039331499397078,0.3008695514001378,0.9685513505485314,0.8044247136411553,0.006606152541232429,0.0025092512360311353,0.002667076743217432,0.1215297434971142,0.9937601379397656,0.31181415617465963,0.4241602641543884,0.63515321565104,0.5079304521000557,0.21507403547747553,0.5439270842306193,1.894765558465906,0.4199587999019044,0.6942246076908165,0.8711010471197316
2000,False,0.002611964475363493,0.0025489600375294685,6.300449604168534e-05,0.482523113489151,0.7539251590825433,0.8256037018734474,0.44445926446997436,0.9688105986712446,0.48021177806407433,0.09843909849045149,0.0984390617583034,0.32195661098938866,0.9614524765501277,0.794178225937959,0.32669064710008633,0.9593863710779228,0.7951438419149205,0.00483651716078278,0.0019225875729055515,0.0015957463935444116,0.19896324173872565,0.9815854613615698,0.4768196493387218,0.4154951265134657,0.6461804909511196,0.4498712182856832,0.22675047692013064,0.6509472661723148,2.665954222105662,0.47522467366012694,0.7643121056646636,0.936543299595398
4000,False,0.001698318519629538,0.0016449782997369766,5.334021625458263e-05,0.40846553444862366,0.7135733314453595,0.7661464192346481,0.35948588201469134,0.9719124536276297,0.4810498067678106,0.08821439792974942,0.08821436119760133,0.35049144822704875,0.9530066800028112,0.788115416155909,0.3542025479501338,0.9514467713060677,0.7891510678186902,0.002969831591404786,0.0014360329712378049,0.0010407565646905598,0.24260965449050595,0.9706898980778762,0.7234584212303161,0.4178651139001925,0.6703279501531038,0.4033731628870761,0.2644384186680207,0.7578035743877533,3.776986922222535,0.8480751784731515,1.9926986698108275,1.0543950583600514
5635,True,0.001390185789205134,0.0013415984576568007,4.8587346100248396e-05,0.3720442056655884,0.6603813681907919,0.7425036532060499,0.35877515737708143,0.9649757046490995,0.519313558697319,0.07569486038611305,0.07569482365396495,0.33599196777331236,0.9552917893233942,0.8136328531855214,0.3397745377828502,0.953993412114173,0.814113282211607,0.002413407321050181,0.0012682730462146407,0.0008217842788758588,0.24146965819562477,0.9708257381218272,0.7166558444499966,0.41423815820762544,0.6896275740819715,0.4127575149312426,0.2874027041353891,0.7674134149348129,3.908342974039476,0.9965511327069779,3.462131392346344,1.0339741908811955
