accepted_iter,R15_p0_rel_L2,R17_p0_rel_L2,gain_p0,R15_p1_rel_L2,R17_p1_rel_L2,gain_p1,R15_p2_rel_L2,R17_p2_rel_L2,gain_p2,R15_far_core_v1_E,R17_far_core_v1_E,gain_far_core_v1_E,R15_far_wake_v1_E,R17_far_wake_v1_E,gain_far_wake_v1_E,R15_near_wake_E_v,R17_near_wake_E_v,gain_near_wake_E_v,R15_far_wake_E_v,R17_far_wake_E_v,gain_far_wake_E_v,R15_whole_E_v,R17_whole_E_v,gain_whole_E_v,R15_far_wake_E_p,R17_far_wake_E_p,R15_uniform_NS,R17_uniform_NS,R15_prior_deviation,R17_prior_deviation
0,0.0324985946330926,0.0324985946330926,0.0,0.19568950027328058,0.19568950027328058,0.0,2.64215223242265,2.64215223242265,0.0,0.28404427655261383,0.28404427655261383,0.0,0.2909031719992074,0.2909031719992074,0.0,0.8305402768486364,0.8305402768486364,0.0,0.4344107573867033,0.4344107573867033,0.0,0.5905528525605025,0.5905528525605025,0.0,1.4164312673181465,1.4164312673181465,0.018897061829240273,0.018897061829240273,0.10045699725796961,0.10045699725796961
250,0.06933723512836772,0.7565322012933375,-0.6871949661649698,0.19351370661870124,0.8169599007848386,-0.6234461941661373,5.200589836624979,0.558492621471249,4.64209721515373,0.28811187778812947,0.29295671224853503,-0.004844834460405567,0.29722745596716654,0.3005183476932012,-0.0032908917260346393,0.7342605672610042,0.7797325316975717,-0.045471964436567536,0.4577768861008675,0.5322794571837764,-0.07450257108290897,0.5060249321336818,0.6975276197300151,-0.19150268759633327,2.719678399359946,2.125569567101946,0.011062352248826087,0.009823870348893676,0.10354397866944796,0.10670107851799214
500,0.0399273965306425,0.7629265709914551,-0.7229991744608126,0.20262968419347746,0.7516932242292811,-0.5490635400358036,3.9978960365823544,0.55105818875593,3.4468378478264246,0.2954881129689027,0.294721026744035,0.0007670862248677079,0.30286903101849694,0.30045205818839815,0.0024169728300987847,0.6697230713770196,0.6592472159004448,0.010475855476574814,0.4258382595543606,0.5229031668010488,-0.09706490724668815,0.45315529186616943,0.6790982305909609,-0.22594293872479143,1.7417763516788523,2.630001224459061,0.00888755871718838,0.008322314867230281,0.11222833996019146,0.10421365107059971
1000,0.017933125597891196,0.7720290712138755,-0.7540959456159844,0.1492660782260081,0.7824888926432445,-0.6332228144172364,1.5728827863090893,0.5490123345993936,1.0238704517096957,0.2821364959189654,0.29313053130814265,-0.010994035389177259,0.2901034969828785,0.3008695514001378,-0.010766054417259308,0.5714710943199636,0.63515321565104,-0.06368212133107642,0.40166440729880665,0.5439270842306193,-0.14226267693181266,0.39293337022101404,0.6942246076908165,-0.30129123746980246,0.9690601908878348,1.894765558465906,0.13031641791944573,0.006606152541232429,0.10660502727979146,0.1215297434971142
2000,0.01168073221855457,0.7539251590825433,-0.7422444268639887,0.12969099121183014,0.8256037018734474,-0.6959127106616173,0.9736014141100684,0.44445926446997436,0.5291421496400941,0.27881002242318376,0.32195661098938866,-0.0431465885662049,0.2879156015528419,0.32669064710008633,-0.038775045547244424,0.5478371887350512,0.6461804909511196,-0.09834330221606846,0.4106673979625954,0.6509472661723148,-0.24027986820971942,0.3835191232816285,0.7643121056646636,-0.38079298238303505,0.8140691104554957,2.665954222105662,0.0038759126979121335,0.00483651716078278,0.12819800686207403,0.19896324173872565
