method,region,metric_group,quantity,metric,value,lbfgs_evals,final_total_loss
prior_uniform_collocation,near-wake,v1_mode,v,amp_ratio,0.8580118281696177,34643,0.00029793550493195653
prior_uniform_collocation,near-wake,v1_mode,v,corr,0.9267508026289287,34643,0.00029793550493195653
prior_uniform_collocation,near-wake,v1_mode,v,phase_deg,-2.4624810598168367,34643,0.00029793550493195653
prior_uniform_collocation,far-wake,v1_mode,v,n,16393,34643,0.00029793550493195653
prior_uniform_collocation,far-wake,v1_mode,v,rel_L2,0.29220088919846027,34643,0.00029793550493195653
prior_uniform_collocation,far-wake,v1_mode,v,amp_ratio,0.8405636591923411,34643,0.00029793550493195653
prior_uniform_collocation,far-wake,v1_mode,v,corr,0.9750197121464105,34643,0.00029793550493195653
prior_uniform_collocation,far-wake,v1_mode,v,phase_deg,-8.490988827110098,34643,0.00029793550493195653
prior_uniform_collocation,far-core,v1_mode,v,n,12460,34643,0.00029793550493195653
prior_uniform_collocation,far-core,v1_mode,v,rel_L2,0.28949597842624675,34643,0.00029793550493195653
prior_uniform_collocation,far-core,v1_mode,v,amp_ratio,0.8387517940246538,34643,0.00029793550493195653
prior_uniform_collocation,far-core,v1_mode,v,corr,0.9765788676166026,34643,0.00029793550493195653
prior_uniform_collocation,far-core,v1_mode,v,phase_deg,-8.622994311329833,34643,0.00029793550493195653
prior_uniform_collocation,other,v1_mode,v,n,6298,34643,0.00029793550493195653
prior_uniform_collocation,other,v1_mode,v,rel_L2,11.281478849190037,34643,0.00029793550493195653
prior_uniform_collocation,other,v1_mode,v,amp_ratio,11.489159861210807,34643,0.00029793550493195653
prior_uniform_collocation,other,v1_mode,v,corr,0.35065447214748,34643,0.00029793550493195653
prior_uniform_collocation,other,v1_mode,v,phase_deg,-44.68182376443435,34643,0.00029793550493195653
prior_uniform_collocation,whole-domain,v1_mode,v,n,51654,34643,0.00029793550493195653
prior_uniform_collocation,whole-domain,v1_mode,v,rel_L2,0.37069515802150554,34643,0.00029793550493195653
prior_uniform_collocation,whole-domain,v1_mode,v,amp_ratio,0.8647728395492775,34643,0.00029793550493195653
prior_uniform_collocation,whole-domain,v1_mode,v,corr,0.9371953098193957,34643,0.00029793550493195653
prior_uniform_collocation,whole-domain,v1_mode,v,phase_deg,-6.52661607589164,34643,0.00029793550493195653
prior_uniform_collocation,near-cylinder,v1_mode_window_convention,v,n,13715,34643,0.00029793550493195653
prior_uniform_collocation,near-cylinder,v1_mode_window_convention,v,rel_L2,0.5132904835173723,34643,0.00029793550493195653
prior_uniform_collocation,near-cylinder,v1_mode_window_convention,v,amp_ratio,0.8003018055450682,34643,0.00029793550493195653
