method,region,metric_group,quantity,metric,value,lbfgs_evals,final_total_loss
prior_noise_00pct,near-wake,v1_mode_window_convention,v,corr,0.9267508026289287,34643,0.00029793550493195653
prior_noise_00pct,near-wake,v1_mode_window_convention,v,phase_deg,14.16648871886656,34643,0.00029793550493195653
prior_noise_00pct,far-wake,v1_mode_window_convention,v,n,16393,34643,0.00029793550493195653
prior_noise_00pct,far-wake,v1_mode_window_convention,v,rel_L2,0.28969119960103407,34643,0.00029793550493195653
prior_noise_00pct,far-wake,v1_mode_window_convention,v,amp_ratio,0.8405636591923411,34643,0.00029793550493195653
prior_noise_00pct,far-wake,v1_mode_window_convention,v,corr,0.9750197121464105,34643,0.00029793550493195653
prior_noise_00pct,far-wake,v1_mode_window_convention,v,phase_deg,8.137980951573297,34643,0.00029793550493195653
prior_noise_00pct,far-core,v1_mode_window_convention,v,n,12460,34643,0.00029793550493195653
prior_noise_00pct,far-core,v1_mode_window_convention,v,rel_L2,0.28505577663469084,34643,0.00029793550493195653
prior_noise_00pct,far-core,v1_mode_window_convention,v,amp_ratio,0.8387517940246538,34643,0.00029793550493195653
prior_noise_00pct,far-core,v1_mode_window_convention,v,corr,0.9765788676166026,34643,0.00029793550493195653
prior_noise_00pct,far-core,v1_mode_window_convention,v,phase_deg,8.00597546735355,34643,0.00029793550493195653
prior_noise_00pct,other,v1_mode_window_convention,v,n,6298,34643,0.00029793550493195653
prior_noise_00pct,other,v1_mode_window_convention,v,rel_L2,11.220070420706776,34643,0.00029793550493195653
prior_noise_00pct,other,v1_mode_window_convention,v,amp_ratio,11.489159861210807,34643,0.00029793550493195653
prior_noise_00pct,other,v1_mode_window_convention,v,corr,0.35065447214748,34643,0.00029793550493195653
prior_noise_00pct,other,v1_mode_window_convention,v,phase_deg,-28.05285398575097,34643,0.00029793550493195653
prior_noise_00pct,whole-domain,v1_mode_window_convention,v,n,51654,34643,0.00029793550493195653
prior_noise_00pct,whole-domain,v1_mode_window_convention,v,rel_L2,0.3899240721288276,34643,0.00029793550493195653
prior_noise_00pct,whole-domain,v1_mode_window_convention,v,amp_ratio,0.8647728395492775,34643,0.00029793550493195653
prior_noise_00pct,whole-domain,v1_mode_window_convention,v,corr,0.9371953098193957,34643,0.00029793550493195653
prior_noise_00pct,whole-domain,v1_mode_window_convention,v,phase_deg,10.102353702791731,34643,0.00029793550493195653
prior_noise_01pct,near-cylinder,field,u,rel_L2,0.07373108714818954,5376,0.0011841028463095427
prior_noise_01pct,near-cylinder,field,v,rel_L2,0.10867218673229218,5376,0.0011841028463095427
prior_noise_01pct,near-cylinder,field,p,rel_L2,0.02000579424202442,5376,0.0011841028463095427
