analysis_id,arm_id,section,metric,region,value,unit,reference,value_type,source,status,notes
A04,karman_prior_only,prior_attribution,v1_mode.v.amp_ratio,far-wake,0.8081713037174078,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,v1_mode.v.corr,far-wake,0.9767875402168485,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,v1_mode.v.phase_deg,far-wake,5.368264172608852,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,v1_mode.v.rel_L2,far-core,0.2819287316838365,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,v1_mode.v.amp_ratio,far-core,0.8082260117271959,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,v1_mode.v.corr,far-core,0.9775460502706388,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,v1_mode.v.phase_deg,far-core,5.162869643178225,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,v1_mode.v.rel_L2,other,0.8636736444196899,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,v1_mode.v.amp_ratio,other,0.35999023258848767,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,v1_mode.v.corr,other,0.5559807284041957,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,v1_mode.v.phase_deg,other,16.57552494628528,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,v1_mode.v.rel_L2,whole-domain,0.47846793335290905,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,v1_mode.v.amp_ratio,whole-domain,0.8404211786122601,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,v1_mode.v.corr,whole-domain,0.8830273766725741,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,karman_prior_only,prior_attribution,v1_mode.v.phase_deg,whole-domain,-5.5082598770587605,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.u.rel_L2,near-cylinder,0.04342290014028549,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.v.rel_L2,near-cylinder,0.14143913984298706,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.p.rel_L2,near-cylinder,0.01867641694843769,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.u.rel_L2,near-wake,0.2727372944355011,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.v.rel_L2,near-wake,1.0366290807724,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.p.rel_L2,near-wake,0.6163440942764282,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.u.rel_L2,far-wake,0.5002196431159973,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.v.rel_L2,far-wake,1.0139986276626587,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.p.rel_L2,far-wake,2.3332183361053467,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.u.rel_L2,far-core,0.5826302766799927,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.v.rel_L2,far-core,1.0038522481918335,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.p.rel_L2,far-core,1.9013025760650635,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.u.rel_L2,other,0.06775574386119843,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.v.rel_L2,other,0.12204265594482422,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.p.rel_L2,other,0.19711746275424957,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.u.rel_L2,whole-domain,0.35252973437309265,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.v.rel_L2,whole-domain,0.8035315275192261,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,field.p.rel_L2,whole-domain,0.5622267723083496,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.rel_L2,near-cylinder,0.9109855202529975,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.amp_ratio,near-cylinder,0.2329956420896799,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.corr,near-cylinder,0.5901849294755548,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.phase_deg,near-cylinder,-35.322581399189,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.rel_L2,near-wake,1.002758461783868,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.amp_ratio,near-wake,0.05354769742155542,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.corr,near-wake,0.08222242151454576,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.phase_deg,near-wake,107.56324823465752,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.rel_L2,far-wake,0.9975692708101322,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.amp_ratio,far-wake,0.021598274531735875,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.corr,far-wake,0.1416338488100317,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.phase_deg,far-wake,29.554766401013815,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.rel_L2,far-core,0.997442441082733,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.amp_ratio,far-core,0.018948152768257277,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.corr,far-core,0.16035718037970534,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.phase_deg,far-core,25.877405514357914,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.rel_L2,other,1.0429656925989803,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.amp_ratio,other,1.214686575140202,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.corr,other,0.7087490409532666,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.phase_deg,other,36.298543210193266,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.rel_L2,whole-domain,0.9982590529322467,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.amp_ratio,whole-domain,0.047024170317109565,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.corr,whole-domain,0.06884213593908428,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics,prior_attribution,v1_mode.v.phase_deg,whole-domain,28.49546678561774,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.u.rel_L2,near-cylinder,0.0592205636203289,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.v.rel_L2,near-cylinder,0.0647122859954834,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.p.rel_L2,near-cylinder,0.017133427783846855,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.u.rel_L2,near-wake,0.16433614492416382,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.v.rel_L2,near-wake,0.4852791726589203,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.p.rel_L2,near-wake,0.3067087233066559,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.u.rel_L2,far-wake,0.18780824542045593,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.v.rel_L2,far-wake,0.4490889012813568,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.p.rel_L2,far-wake,1.5653620958328247,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.u.rel_L2,far-core,0.2100825160741806,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.v.rel_L2,far-core,0.3913930058479309,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.p.rel_L2,far-core,1.276977300643921,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.u.rel_L2,other,0.11128376424312592,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.v.rel_L2,other,0.4498370885848999,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.p.rel_L2,other,0.680185079574585,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.u.rel_L2,whole-domain,0.16075393557548523,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.v.rel_L2,whole-domain,0.3884117901325226,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
A04,pressure_only_physics_karman_prior,prior_attribution,field.p.rel_L2,whole-domain,0.37669020891189575,dimensionless,CFD,raw_metric,modes_experiment/fresh_analysis/derived/a04_prior_attribution_summary.csv,accepted,201-snapshot common-contract evaluation.
