accepted_iter,random_far_core_v1_E,grid_far_core_v1_E,gain_far_core_v1_E,random_far_wake_v1_E,grid_far_wake_v1_E,gain_far_wake_v1_E,random_uniform_NS,grid_uniform_NS,random_prior_deviation,grid_prior_deviation,random_far_wake_E_v,grid_far_wake_E_v,gain_full_far_wake_E_v,random_whole_E_v,grid_whole_E_v,gain_whole_E_v,random_far_wake_E_p,grid_far_wake_E_p
0,0.28404427655261383,0.28404427655261383,0.0,0.2909031719992074,0.2909031719992074,0.0,0.0312218709897567,0.018897061829240273,0.10067858838449889,0.10045699725796961,0.4344107573867033,0.4344107573867033,0.0,0.5905528525605025,0.5905528525605025,0.0,1.4164312673181465,1.4164312673181465
250,0.2891294988249813,0.28811187778812947,0.0010176210368518235,0.297527923027544,0.29722745596716654,0.00030046706037745174,0.012500226709265866,0.011062352248826087,0.09886017702616268,0.10354397866944796,0.4469297395424799,0.4577768861008675,-0.010847146558387588,0.502548062680298,0.5060249321336818,-0.0034768694533838795,2.383411072925974,2.719678399359946
500,0.2956668428646184,0.2954881129689027,0.0001787298957157124,0.3037661144037036,0.30286903101849694,0.0008970833852066651,0.007545402991716049,0.00888755871718838,0.10584670993777488,0.11222833996019146,0.4123416847328906,0.4258382595543606,-0.013496574821469987,0.42695781730326154,0.45315529186616943,-0.026197474562907885,1.365699593162489,1.7417763516788523
1000,0.28699399294242733,0.2821364959189654,0.004857497023461943,0.29541262408915936,0.2901034969828785,0.005309127106280842,0.003924902827709799,0.13031641791944573,0.1008347693538567,0.10660502727979146,0.4143720735703207,0.40166440729880665,0.01270766627151404,0.3907819496732112,0.39293337022101404,-0.002151420547802818,0.9101908543674119,0.9690601908878348
2000,0.2996630883066967,0.27881002242318376,0.020853065883512933,0.30977236473983627,0.2879156015528419,0.021856763186994366,0.0024795923926776223,0.0038759126979121335,0.14014660047784316,0.12819800686207403,0.4245990910874958,0.4106673979625954,0.01393169312490039,0.39173088274475143,0.3835191232816285,0.008211759463122914,0.8576330972453432,0.8140691104554957
