accepted_iter,is_final,training_total_loss,training_physics_loss,training_pressure_tap_loss,far_core_v1_rel_L2,far_core_v1_corr,far_core_v1_amp_ratio,far_wake_v1_rel_L2,far_wake_v1_corr,far_wake_v1_amp_ratio,uniform_NS_whole,uniform_NS_formation,uniform_NS_far_core,prior_deviation_rel_L2,prior_corr,radius_usage_p95,far_wake_E_u,far_wake_E_v,far_wake_E_p,whole_E_u,whole_E_v,whole_E_p
0,False,0.07801738381385803,0.07771196961402893,0.0003054126864299178,0.28404427655261383,0.9736171152330142,0.8227091149222497,0.2909031719992074,0.9712035795752145,0.824321879808126,0.018897061829240273,0.02250334356020487,0.007727270148201619,0.10045699725796961,0.9951835225683158,0.2670978471636772,0.13665523409955485,0.4344107573867033,1.4164312673181465,0.2316591280440539,0.5905528525605025,0.4097041592989049
250,False,0.014573798514902592,0.013507211580872536,0.0010665871668606997,0.28811187778812947,0.9706672899223866,0.8268333377478086,0.29722745596716654,0.9675863860879613,0.8272250262184551,0.011062352248826087,0.008834841693612632,0.004967072301269776,0.10354397866944796,0.9949382011282079,0.2905772730708121,0.16677167276039134,0.4577768861008675,2.719678399359946,0.24938708245624297,0.5060249321336818,0.6257820061770953
500,False,0.00896410271525383,0.008502950891852379,0.0004611516196746379,0.2954881129689027,0.9705191842830215,0.8210184848429323,0.30286903101849694,0.9681146044321293,0.8216056252442092,0.00888755871718838,0.006860982100179687,0.004475850944163148,0.11222833996019146,0.9937106674241476,0.28757106959819767,0.12744899760974165,0.4258382595543606,1.7417763516788523,0.1780215680255322,0.45315529186616943,0.4362936251437615
1000,False,0.004437107592821121,0.004319075960665941,0.00011803145025623962,0.2821364959189654,0.9750156908177242,0.8305979240507826,0.2901034969828785,0.9727057620959705,0.8307845932879319,0.13031641791944573,0.004388929933874891,0.0037959316903198505,0.10660502727979146,0.9944840586576053,0.2902483478188512,0.13842907604717627,0.40166440729880665,0.9690601908878348,0.1441283440635161,0.39293337022101404,0.29052045142480903
2000,False,0.002818826586008072,0.002753488253802061,6.533829582622275e-05,0.27881002242318376,0.9761855520912411,0.8314767512382883,0.2879156015528419,0.97349566752325,0.8318850052535611,0.0038759126979121335,0.003137251058617699,0.0027655547986833572,0.12819800686207403,0.9921162173161406,0.35719879120588294,0.17182134887874304,0.4106673979625954,0.8140691104554957,0.15382845592843228,0.3835191232816285,0.2625433308008976
2348,True,0.0027918030973523855,0.0027257257606834173,6.607725663343444e-05,0.27894129216261226,0.9760246009019392,0.8316651126210147,0.28779122069139484,0.973424983362388,0.8319493827612884,0.00522725692856504,0.0031038277119764205,0.0027411806373371502,0.13016777013892433,0.9918542057828765,0.3623199701309202,0.17244523170762857,0.41122450408242994,0.819764335549101,0.15417150306905494,0.38365959600466104,0.2627852929071339
