accepted_iter,R15_bvf_k1_rel_L2,R18b_bvf_k1_rel_L2,gain_bvf_k1,R15_far_core_v1_E,R18b_far_core_v1_E,gain_far_core_v1_E,R15_far_wake_v1_E,R18b_far_wake_v1_E,gain_far_wake_v1_E,R15_far_wake_E_v,R18b_far_wake_E_v,gain_far_wake_E_v,R15_near_wake_E_v,R18b_near_wake_E_v,gain_near_wake_E_v,R15_whole_E_v,R18b_whole_E_v,gain_whole_E_v,R15_uniform_NS,R18b_uniform_NS,R15_prior_deviation,R18b_prior_deviation
0,1.0038767109781255,1.0038767109781255,0.0,0.28404427655261383,0.28404427655261383,0.0,0.2909031719992074,0.2909031719992074,0.0,0.4344107573867033,0.4344107573867033,0.0,0.8305402768486364,0.8305402768486364,0.0,0.5905528525605025,0.5905528525605025,0.0,0.018897061829240273,0.018897061829240273,0.10045699725796961,0.10045699725796961
250,0.9632378022110458,0.8649272762170883,0.09831052599395751,0.28811187778812947,0.28548813208036417,0.0026237457077653015,0.29722745596716654,0.2949141415454597,0.002313314421706847,0.4577768861008675,0.45676746221230746,0.0010094238885600126,0.7342605672610042,0.7074071605281008,0.026853406732903373,0.5060249321336818,0.5005857129868001,0.005439219146881724,0.011062352248826087,0.01136970251437129,0.10354397866944796,0.10532534513975363
500,0.938117988087134,0.7781784472236396,0.15993954086349438,0.2954881129689027,0.28958823424019514,0.005899878728707564,0.30286903101849694,0.2962809612044313,0.006588069814065622,0.4258382595543606,0.4199219555788969,0.0059163039754637214,0.6697230713770196,0.6627032655140039,0.007019805863015649,0.45315529186616943,0.45532844064722855,-0.00217314878105912,0.00888755871718838,0.008482352472086372,0.11222833996019146,0.10701065348399641
1000,0.9416748040790108,0.705755715673565,0.23591908840544584,0.2821364959189654,0.2770034754212356,0.00513302049772979,0.2901034969828785,0.28374127755954376,0.006362219423334758,0.40166440729880665,0.39830379756877077,0.0033606097300358795,0.5714710943199636,0.5694242509670071,0.0020468433529564622,0.39293337022101404,0.3868218104003152,0.006111559820698831,0.13031641791944573,0.004363238796367812,0.10660502727979146,0.10238479279051323
2000,0.9467416755723621,0.4019796289886587,0.5447620465837034,0.27881002242318376,0.2707080670652449,0.00810195535793884,0.2879156015528419,0.27693684163438925,0.010978759918452652,0.4106673979625954,0.39824530239172573,0.012422095570869651,0.5478371887350512,0.5782268809843395,-0.030389692249288336,0.3835191232816285,0.38737528865545756,-0.003856165373829046,0.0038759126979121335,0.0027947021982664415,0.12819800686207403,0.11744126003575296
