accepted_iter,is_final,training_total_loss,training_physics_loss,training_pressure_tap_loss,training_modal_bvf_raw,training_modal_bvf_weighted,bvf_raw,bvf_k0_rel_L2,bvf_k1_rel_L2,bvf_k2_rel_L2,far_core_v1_rel_L2,far_core_v1_corr,far_core_v1_amp_ratio,far_wake_v1_rel_L2,far_wake_v1_corr,far_wake_v1_amp_ratio,uniform_NS_whole,uniform_NS_formation,uniform_NS_far_core,prior_deviation_rel_L2,prior_corr,radius_usage_p95,near_wake_E_u,near_wake_E_v,near_wake_E_p,far_wake_E_u,far_wake_E_v,far_wake_E_p,whole_E_u,whole_E_v,whole_E_p
0,False,0.08578857779502869,0.07771196961402893,0.0003054126864299178,1.1094006299972534,0.007771196775138378,1.109400698502669,1.1185658900258828,1.0038767109781255,1.0340425827202009,0.28404427655261383,0.9736171152330142,0.8227091149222497,0.2909031719992074,0.9712035795752145,0.824321879808126,0.018897061829240273,0.02250334356020487,0.007727270148201619,0.10045699725796961,0.9951835225683158,0.2670978471636772,0.24033448827460305,0.8305402768486364,0.4690892619560888,0.13665523409955485,0.4344107573867033,1.4164312673181465,0.2316591280440539,0.5905528525605025,0.4097041592989049
250,False,0.02121376246213913,0.014041579328477383,0.0011218624422326684,0.8637316823005676,0.006050320342183113,0.8637316901278923,0.9754059398181482,0.8649272762170883,0.944287658722522,0.28548813208036417,0.9703149709595452,0.8316371308029848,0.2949141415454597,0.9670962603900033,0.8323848341942958,0.01136970251437129,0.00911042389421229,0.004981378808882454,0.10532534513975363,0.9949635703450597,0.2966514110565184,0.29799105279525345,0.7074071605281008,0.4180818002018837,0.1696051734777394,0.45676746221230746,2.6030260698825938,0.24991520152746774,0.5005857129868001,0.5976175783857536
500,False,0.014220800250768661,0.009519851766526699,0.00043185215326957405,0.609447717666626,0.004269096534699202,0.6094477003511513,0.6693011413244736,0.7781784472236396,0.8802371375198703,0.28958823424019514,0.9709868771561241,0.827057274834284,0.2962809612044313,0.9689098980843491,0.8272787288843398,0.008482352472086372,0.007699565915898281,0.004597850505235968,0.10701065348399641,0.9943856897529998,0.29200234860181806,0.21224941571438619,0.6627032655140039,0.3970394598320267,0.12102907634602163,0.4199219555788969,1.5167329780727592,0.17538722795475864,0.45532844064722855,0.3899527970470412
1000,False,0.007008746266365051,0.005157426930963993,8.978920959634706e-05,0.25147250294685364,0.001761529827490449,0.2514725095894916,0.21178617184524307,0.705755715673565,0.4598619631094396,0.2770034754212356,0.9748400580737417,0.8348874789752025,0.28374127755954376,0.9729905382729502,0.8347436457848236,0.004363238796367812,0.005489734594928688,0.0038412537317875127,0.10238479279051323,0.994963475886873,0.2933615386486053,0.15086771731709547,0.5694242509670071,0.3348024115713381,0.11876383780820317,0.39830379756877077,0.8061309300839207,0.1268124170698108,0.3868218104003152,0.25537141691678705
2000,False,0.003663044422864914,0.0031800256110727787,3.725582791958004e-05,0.06363620609045029,0.00044576276559382677,0.06363620311359405,0.13857596917875814,0.4019796289886587,0.10058673179744371,0.2707080670652449,0.9765093556811039,0.8408711307528552,0.27693684163438925,0.9748061803377438,0.8413334719967237,0.0027947021982664415,0.003758147754066165,0.0027188844947047975,0.11744126003575296,0.9935915079952707,0.335881660878658,0.14327497612499376,0.5782268809843395,0.3430036507723286,0.15627869110538617,0.39824530239172573,0.7330983751716738,0.1351747786641582,0.38737528865545756,0.24194603378629478
4000,False,0.002346714725717902,0.00221195793710649,2.364503416174557e-05,0.015862075611948967,0.00011111162893939763,0.015862076956520026,0.13165915755627933,0.1658238166518238,0.05248390159870126,0.3180878315438771,0.966215840083642,0.7900044777707542,0.3217404680517718,0.9647879979768876,0.7911323184646644,0.0022934826207482743,0.002620873712119607,0.001870497539299517,0.17475618069915216,0.9852166235524733,0.4399916976690291,0.1642049119422749,0.5445482330574016,0.33674557174014647,0.22852305466061282,0.46031287315888375,0.9401211179942772,0.17728321202102051,0.4025294011895865,0.2627214510678831
6000,True,0.0018038691487163305,0.0017269126838073134,1.9034830984310247e-05,0.008268776349723339,5.792162846773863e-05,0.008268775702098026,0.11588357969630589,0.09856357076953864,0.040774332826025585,0.35981786973008045,0.9563705036070468,0.7486935743747494,0.36175274768394144,0.9553423653458432,0.7495977405678861,0.0019263733844482255,0.002150427077003115,0.0013797669046623352,0.22536217205923825,0.9784979836296448,0.5161967247724533,0.17837171605016283,0.55096056089254,0.3443144081797117,0.27625975843811656,0.5194739202735035,1.0342978216106171,0.20650445382785457,0.432868132868409,0.2780748635958258
