accepted_iter,is_final,training_total_loss,training_physics_loss,training_pressure_tap_loss,far_core_v1_rel_L2,far_core_v1_corr,far_core_v1_amp_ratio,far_wake_v1_rel_L2,far_wake_v1_corr,far_wake_v1_amp_ratio,uniform_NS_whole,uniform_NS_formation,uniform_NS_far_core,prior_deviation_rel_L2,prior_corr,prior_amp_ratio,radius_usage_mean,radius_usage_p95,radius_usage_gt_0p9
0,False,0.13332484662532806,0.13301943242549896,0.0003054126864299178,0.28404427655261383,0.9736171152330142,0.8227091149222497,0.2909031719992074,0.9712035795752145,0.824321879808126,0.0312218709897567,0.022243623234735766,0.007722382640993956,0.10067858838449889,0.9951584580478068,1.0048437118786007,0.1468762308359146,0.2661900132894516,0.0
250,False,0.013602014631032944,0.0126726683229208,0.00092934665735811,0.2891294988249813,0.9715237694107992,0.8248251676863052,0.297527923027544,0.9686846903621034,0.8254602285193802,0.012500226709265866,0.008319517485003224,0.004787871332224344,0.09886017702616268,0.995199927179921,1.002997949274773,0.13724759221076965,0.28064333647489537,0.0
500,False,0.008081846870481968,0.007683601230382919,0.00039824569830670953,0.2956668428646184,0.9717972283681705,0.8195219941028665,0.3037661144037036,0.9691352793293609,0.820829235785585,0.007545402991716049,0.006469862108275953,0.004398871158324538,0.10584670993777488,0.9943957287825634,0.9952651985554806,0.15248285233974457,0.2725175604224205,0.0
1000,False,0.004432590678334236,0.004304265603423119,0.00012832497304771096,0.28699399294242733,0.974334173789759,0.8209928142075125,0.29541262408915936,0.9717302433891408,0.8216329692621598,0.003924902827709799,0.004510173845664053,0.0037776241514219057,0.1008347693538567,0.9949223303062227,0.9997595398286886,0.15093520283699036,0.2636763706803322,0.0
2000,False,0.0027020289562642574,0.0026410187128931284,6.1010283388895914e-05,0.2996630883066967,0.9722890635236022,0.8056912995681357,0.30977236473983627,0.96867938420581,0.807275881783128,0.0024795923926776223,0.0031227650160939374,0.002572242559920836,0.14014660047784316,0.9902414337644663,0.9777777655667189,0.20264111459255219,0.3462029993534087,0.0
2503,True,0.0026449421420693398,0.0025850252714008093,5.991675425320864e-05,0.29984203360719364,0.9723449315617413,0.805533974066174,0.30989904644605426,0.9687312887992399,0.8072280092231727,0.002415807869784081,0.003066372857293454,0.0025499248540379713,0.14069839227977782,0.990172018448781,0.9776960003165106,0.20320464670658112,0.34644053131341923,0.0
