noise_sigma,quantity,variable,region,metric,value
0.00047265,first_harmonic_v1,v,whole-domain,amplitude_ratio,1.00077800068199
0.00047265,first_harmonic_v1,v,whole-domain,correlation,0.999982384975697
0.00047265,first_harmonic_v1,v,whole-domain,phase_deg,0.01611737916821877
0.0023633,field,u,near-cylinder,relative_L2,0.00233559201932778
0.0023633,field,v,near-cylinder,relative_L2,0.008154386011180093
0.0023633,field,p,near-cylinder,relative_L2,0.002428710615880466
0.0023633,field,u,near-wake,relative_L2,0.060492648747553585
0.0023633,field,v,near-wake,relative_L2,0.2633245642807121
0.0023633,field,p,near-wake,relative_L2,0.0662151925365544
0.0023633,field,u,far-wake,relative_L2,0.11625700756982321
0.0023633,field,v,far-wake,relative_L2,0.9078805383536414
0.0023633,field,p,far-wake,relative_L2,0.3909249026002217
0.0023633,field,u,far-core,relative_L2,0.13952633120191008
0.0023633,field,v,far-core,relative_L2,0.9125900728736867
0.0023633,field,p,far-core,relative_L2,0.392256759251653
0.0023633,field,u,other,relative_L2,0.00040847959897132957
0.0023633,field,v,other,relative_L2,0.0015202913953915249
0.0023633,field,p,other,relative_L2,0.0012637331954130475
0.0023633,field,u,whole-domain,relative_L2,0.08081829727034347
0.0023633,field,v,whole-domain,relative_L2,0.5849459435173885
0.0023633,field,p,whole-domain,relative_L2,0.0840480886040998
0.0023633,first_harmonic_v1,v,near-cylinder,relative_L2,0.0046864955489160825
0.0023633,first_harmonic_v1,v,near-cylinder,amplitude_ratio,1.0029278911722395
0.0023633,first_harmonic_v1,v,near-cylinder,correlation,0.9999978760750696
0.0023633,first_harmonic_v1,v,near-cylinder,phase_deg,-0.17287550648594285
0.0023633,first_harmonic_v1,v,near-wake,relative_L2,0.011907795722727757
0.0023633,first_harmonic_v1,v,near-wake,amplitude_ratio,1.0046066970476735
0.0023633,first_harmonic_v1,v,near-wake,correlation,0.9999420683863081
0.0023633,first_harmonic_v1,v,near-wake,phase_deg,0.11683360598886182
0.0023633,first_harmonic_v1,v,far-wake,relative_L2,0.03559252907083566
0.0023633,first_harmonic_v1,v,far-wake,amplitude_ratio,1.004093846566367
0.0023633,first_harmonic_v1,v,far-wake,correlation,0.9993782128206412
0.0023633,first_harmonic_v1,v,far-wake,phase_deg,0.06775291312065662
0.0023633,first_harmonic_v1,v,far-core,relative_L2,0.03575924979045706
0.0023633,first_harmonic_v1,v,far-core,amplitude_ratio,1.004080404069905
0.0023633,first_harmonic_v1,v,far-core,correlation,0.9993722307061703
0.0023633,first_harmonic_v1,v,far-core,phase_deg,0.06797943904911334
0.0023633,first_harmonic_v1,v,other,relative_L2,0.004043675711463018
0.0023633,first_harmonic_v1,v,other,amplitude_ratio,1.0028735041600845
0.0023633,first_harmonic_v1,v,other,correlation,0.9999975675283724
0.0023633,first_harmonic_v1,v,other,phase_deg,-0.10259241195205825
0.0023633,first_harmonic_v1,v,whole-domain,relative_L2,0.029972859588567175
0.0023633,first_harmonic_v1,v,whole-domain,amplitude_ratio,1.0042413620273452
0.0023633,first_harmonic_v1,v,whole-domain,correlation,0.9995626510656321
0.0023633,first_harmonic_v1,v,whole-domain,phase_deg,0.0803755656971274
0.0047265,field,u,near-cylinder,relative_L2,0.0046706110635725395
0.0047265,field,v,near-cylinder,relative_L2,0.016307059372919534
0.0047265,field,p,near-cylinder,relative_L2,0.004857340979345335
0.0047265,field,u,near-wake,relative_L2,0.12067955206046038
0.0047265,field,v,near-wake,relative_L2,0.5255844777819877
0.0047265,field,p,near-wake,relative_L2,0.1322804044730797
0.0047265,field,u,far-wake,relative_L2,0.23214519120485808
0.0047265,field,v,far-wake,relative_L2,1.8138600034255061
0.0047265,field,p,far-wake,relative_L2,0.7800987369265829
0.0047265,field,u,far-core,relative_L2,0.2786105090662828
0.0047265,field,v,far-core,relative_L2,1.8232706530594782
0.0047265,field,p,far-core,relative_L2,0.782755887549352
0.0047265,field,u,other,relative_L2,0.0008169409652854525
0.0047265,field,v,other,relative_L2,0.0030405224707164
0.0047265,field,p,other,relative_L2,0.0025273214314280633
0.0047265,field,u,whole-domain,relative_L2,0.16134848548475497
0.0047265,field,v,whole-domain,relative_L2,1.1686176338394092
0.0047265,field,p,whole-domain,relative_L2,0.1677522263049106
0.0047265,first_harmonic_v1,v,near-cylinder,relative_L2,0.009372864235589126
0.0047265,first_harmonic_v1,v,near-cylinder,amplitude_ratio,1.0058689708257773
0.0047265,first_harmonic_v1,v,near-cylinder,correlation,0.9999915535786567
0.0047265,first_harmonic_v1,v,near-cylinder,phase_deg,-0.3447365197111041
0.0047265,first_harmonic_v1,v,near-wake,relative_L2,0.023814796218207847
0.0047265,first_harmonic_v1,v,near-wake,amplitude_ratio,1.0093327590887435
0.0047265,first_harmonic_v1,v,near-wake,correlation,0.9997704365162482
0.0047265,first_harmonic_v1,v,near-wake,phase_deg,0.2326113726694596
0.0047265,first_harmonic_v1,v,far-wake,relative_L2,0.0711825134622147
0.0047265,first_harmonic_v1,v,far-wake,amplitude_ratio,1.0094262625792738
0.0047265,first_harmonic_v1,v,far-wake,correlation,0.9975369663085097
0.0047265,first_harmonic_v1,v,far-wake,phase_deg,0.13504624497926454
0.0047265,first_harmonic_v1,v,far-core,relative_L2,0.07151594132137915
0.0047265,first_harmonic_v1,v,far-core,amplitude_ratio,1.0094112982676136
0.0047265,first_harmonic_v1,v,far-core,correlation,0.9975132407129013
0.0047265,first_harmonic_v1,v,far-core,phase_deg,0.13550048935053263
0.0047265,first_harmonic_v1,v,other,relative_L2,0.008087176818442388
0.0047265,first_harmonic_v1,v,other,amplitude_ratio,1.0057549285761829
0.0047265,first_harmonic_v1,v,other,correlation,0.9999903261729514
0.0047265,first_harmonic_v1,v,other,phase_deg,-0.20459475038601585
0.0047265,first_harmonic_v1,v,whole-domain,relative_L2,0.05994358366514486
0.0047265,first_harmonic_v1,v,whole-domain,amplitude_ratio,1.0093548966843782
0.0047265,first_harmonic_v1,v,whole-domain,correlation,0.9982672858643471
0.0047265,first_harmonic_v1,v,whole-domain,phase_deg,0.16014880353860916
-1.0,pod_projection_field,u,near-cylinder,relative_L2,4.250014118625951e-05
-1.0,pod_projection_field,v,near-cylinder,relative_L2,0.00010320176591458016
-1.0,pod_projection_field,p,near-cylinder,relative_L2,7.816103639069395e-05
-1.0,pod_projection_field,u,near-wake,relative_L2,0.004417604921299426
-1.0,pod_projection_field,v,near-wake,relative_L2,0.018039759820491243
-1.0,pod_projection_field,p,near-wake,relative_L2,0.003105521850640693
-1.0,pod_projection_field,u,far-wake,relative_L2,0.00755709844144846
-1.0,pod_projection_field,v,far-wake,relative_L2,0.04755120858031659
-1.0,pod_projection_field,p,far-wake,relative_L2,0.02990815586833382
-1.0,pod_projection_field,u,far-core,relative_L2,0.009074723406136796
-1.0,pod_projection_field,v,far-core,relative_L2,0.047789729648096586
-1.0,pod_projection_field,p,far-core,relative_L2,0.03001608107530103
-1.0,pod_projection_field,u,other,relative_L2,3.0726222279987627e-06
-1.0,pod_projection_field,v,other,relative_L2,9.790014165445795e-06
-1.0,pod_projection_field,p,other,relative_L2,4.493602526798731e-05
-1.0,pod_projection_field,u,whole-domain,relative_L2,0.0053950799407052365
