s,A_dom,A_wake,A_k1_wake,B_eps.001,B_eps.01,B_eps.05,B_eps.1,C_liftMom,D_linRZIF
0.0,6.550190675154495e-05,0.00016900835881945432,0.0001615487383290663,0.03978407662960257,0.02637599653006951,0.005237439074768154,0.0016915391749814973,0.3446895517687608,0.01660963021459775
0.25,0.002278027943120588,0.006792346229876946,0.0007725042502515309,0.2340420864101959,0.16122699929759549,0.058707460024592865,0.027785739618961816,0.6934093513763145,0.04285911958418845
0.5,0.0034370312205987564,0.01028423818775447,0.0008225834035969394,0.5957534919225642,0.3324875474112773,0.09455242590622474,0.038826426965214794,1.7670904567752033,0.11067198937803777
1.0,0.004262744339750597,0.012770730455038426,0.0008047623493037814,1.2480362152735116,0.5211296571687615,0.1209490349706317,0.04593541751563002,4.017631921574561,0.19924132380606374
2.0,0.004763660522194719,0.014259988838532777,0.0009852421376197406,2.021742314164633,0.7771581259743913,0.1717865903738864,0.06365438049245406,5.829613592654447,0.3455518566613726
4.0,0.005263436756079945,0.01571891474080479,0.001482645163996653,3.560488646636983,1.3578851374164809,0.28397774623977695,0.1020019150559614,5.666573789687455,0.6502142601500039
inf,0.00975644570599945,0.02878529734677819,0.006945337591436984,3240.470438740434,33.417248061328934,1.7052419575475453,0.5064828269453717,3.8571930311472524,16.617379374207825
