label,cumulative_iter,is_final,far_core_v1_rel_L2,far_core_v1_corr,far_core_v1_amp_ratio,far_wake_v1_rel_L2,far_wake_v1_corr,far_wake_v1_amp_ratio,uniform_NS_whole,uniform_NS_formation,uniform_NS_far_core,prior_deviation_rel_L2,prior_corr,radius_usage_p95,near_cylinder_E_u,near_cylinder_E_v,near_cylinder_E_p,near_wake_E_u,near_wake_E_v,near_wake_E_p,far_wake_E_u,far_wake_E_v,far_wake_E_p,whole_E_u,whole_E_v,whole_E_p
start_R15_500,500,False,0.2954881129689027,0.9705191842830215,0.8210184848429323,0.30286903101849694,0.9681146044321293,0.8216056252442092,0.00888755871718838,0.006860982100179687,0.004475850944163148,0.11222833996019146,0.9937106674241476,0.28757106959819767,0.25780198797675036,0.2586543544819268,0.07007782703934477,0.21501586432186381,0.6697230713770196,0.42166221858861336,0.12744899760974165,0.4258382595543606,1.7417763516788523,0.1780215680255322,0.45315529186616943,0.4362936251437615
stageB_final,1000,False,0.28691267423121836,0.9719868925078888,0.8289713467466604,0.29679362909552603,0.9688729783714739,0.8296681690595389,0.003903352594669038,0.005388302301467082,0.00422810356357385,0.10663299200027154,0.9943901251304117,0.2941533520817756,0.07781019102353087,0.14372429250524174,0.03606260804767257,0.17221743371969997,0.5864946404129086,0.36230221242818117,0.14483136086570061,0.416322080768339,0.8357843128506182,0.14136440515792117,0.3884791687637813,0.27340203181673517
stageC_00000,1000,False,0.28691267504218027,0.9719869175063658,0.8289713467466604,0.29679363375721163,0.9688730055830668,0.8296681690595389,0.0039033526020819664,0.005388301684396347,0.004228104457171478,0.10663303332744467,0.9943901174711165,0.29415338188409795,0.07781108738034608,0.1437269278356723,0.03606257710672946,0.17221743419032112,0.5864947230352422,0.3623022280014108,0.14483137339510313,0.4163221009938133,0.83578470360384,0.14197221050915262,0.40053671639047267,0.27340207270830064
stageC_00250,1250,False,0.28944160933934626,0.9726254865770096,0.8266550465178836,0.29816364320536437,0.9699541687983252,0.82706063365408,0.0032966698340725726,0.004404410746650135,0.0038797769242674383,0.10772133621661081,0.994254555083138,0.2929419547319411,0.07984241100739362,0.1280956572885624,0.033432341319803244,0.1797454726962339,0.6040690794730461,0.3813880461930979,0.15591991625475768,0.43071536522033194,0.966307201875393,0.15011121845870745,0.4099376495853153,0.2931803352459494
stageC_00500,1500,False,0.2916928087951178,0.9736399861487478,0.8206242631234313,0.30336722696875906,0.9698482751145883,0.8213217565653659,0.002914328636633264,0.0038086150890371726,0.0035011093891093095,0.11813430295330592,0.9931344026118848,0.31030008643865586,0.07776193518589887,0.115084022941981,0.028880471391281103,0.18568998769273587,0.6009593430667866,0.382044953256526,0.18066306473761337,0.43635977148949806,0.9475234009453567,0.16241751937548687,0.41099311419213436,0.28957619996633593
stageC_01000,2000,False,0.29558730030790004,0.9727873369048946,0.8107012005867947,0.3063996982113236,0.9691223147655535,0.8113472664618704,0.002363946851082439,0.003049121020172711,0.002639717456239416,0.14353986578917874,0.9896974717572073,0.37322285920381537,0.07104178870015725,0.09724577114042421,0.02406722544927403,0.18545377716017192,0.5841746776562445,0.38490893173492013,0.20600437689038692,0.44911627584497416,0.9297531856423672,0.1737236710497198,0.4123823468796747,0.2859718533955493
stageC_02000,3000,False,0.32125919256824564,0.9659487261240269,0.7779179832265544,0.33088800166219234,0.9617982105512755,0.7793259433868222,0.002036236103264607,0.002467420333988537,0.00172685022183567,0.17714545611037683,0.9863203502620271,0.41001784950494763,0.06640764849930411,0.08958158066040374,0.02188252713745371,0.2047582197634663,0.6075114069943041,0.40876546274750775,0.2865362475815256,0.5086434828063283,1.1367701853369463,0.21990587819509408,0.4535835711560446,0.318462038377141
stageC_04000,5000,False,0.3832284788106902,0.9514732064073897,0.7231150560904405,0.39063527530710257,0.9471114262703133,0.7243652884480172,0.0017039815307915073,0.0020498575130503223,0.0013087446245301747,0.2499476522473772,0.9782202454307777,0.551198536157608,0.06327144933922331,0.07877932469049069,0.01942108864186713,0.22890638090223725,0.6579860788749041,0.45703952850565605,0.34885649074668307,0.5790467509801032,1.3176711271956965,0.261719989119801,0.5146269355023243,0.3590293381547821
stageC_06000,7000,True,0.42629068619887595,0.9382237052723154,0.6906920530484376,0.4349346363365863,0.9317512638773291,0.693368093276508,0.0014952869132305137,0.001749082183872066,0.0011247291019511952,0.30845659759665406,0.9675649993396025,0.6566208213567734,0.06246961313569025,0.06934473729488891,0.01787688454822144,0.24080239422257904,0.6796793537144915,0.4857400954417948,0.372114297304173,0.630990167615437,1.3838840252006186,0.2806868082633672,0.5910205120908893,0.37787414170304257
