cumulative_iter,R15_far_core_v1_E,R19_far_core_v1_E,gain_far_core_v1_E,R15_near_wake_E_v,R19_near_wake_E_v,gain_near_wake_E_v,R15_far_wake_E_v,R19_far_wake_E_v,gain_far_wake_E_v,R15_whole_E_v,R19_whole_E_v,gain_whole_E_v,R15_uniform_NS,R19_uniform_NS
500,0.2954881129689027,0.2954881129689027,0.0,0.6697230713770196,0.6697230713770196,0.0,0.4258382595543606,0.4258382595543606,0.0,0.45315529186616943,0.45315529186616943,0.0,0.00888755871718838,0.00888755871718838
1000,0.2821364959189654,0.28691267504218027,-0.004776179123214874,0.5714710943199636,0.5864947230352422,-0.015023628715278625,0.40166440729880665,0.4163221009938133,-0.014657693695006635,0.39293337022101404,0.40053671639047267,-0.007603346169458625,0.13031641791944573,0.0039033526020819664
2000,0.27881002242318376,0.29558730030790004,-0.01677727788471628,0.5478371887350512,0.5841746776562445,-0.03633748892119337,0.4106673979625954,0.44911627584497416,-0.038448877882378774,0.3835191232816285,0.4123823468796747,-0.02886322359804616,0.0038759126979121335,0.002363946851082439
