method,region,metric_group,quantity,metric,value
pressure_and_velocity_probes_physics,other,v1_mode,v,n,6298
pressure_and_velocity_probes_physics,other,v1_mode,v,rel_L2,0.6926458902474399
pressure_and_velocity_probes_physics,other,v1_mode,v,amp_ratio,1.229983941740091
pressure_and_velocity_probes_physics,other,v1_mode,v,corr,0.8686440265311222
pressure_and_velocity_probes_physics,other,v1_mode,v,phase_deg,17.92610080861986
pressure_and_velocity_probes_physics,whole-domain,v1_mode,v,n,51654
pressure_and_velocity_probes_physics,whole-domain,v1_mode,v,rel_L2,0.16282875871939662
pressure_and_velocity_probes_physics,whole-domain,v1_mode,v,amp_ratio,0.9072114335804587
pressure_and_velocity_probes_physics,whole-domain,v1_mode,v,corr,0.9909792038636724
pressure_and_velocity_probes_physics,whole-domain,v1_mode,v,phase_deg,2.368401108011185
dense_observations,near-cylinder,field,u,rel_L2,0.005857582204043865
dense_observations,near-cylinder,field,v,rel_L2,0.011175346560776234
dense_observations,near-cylinder,field,p,rel_L2,0.006173023488372564
dense_observations,near-wake,field,u,rel_L2,0.006636717356741428
dense_observations,near-wake,field,v,rel_L2,0.023743093013763428
dense_observations,near-wake,field,p,rel_L2,0.006936534307897091
dense_observations,far-wake,field,u,rel_L2,0.009232824668288231
dense_observations,far-wake,field,v,rel_L2,0.050979506224393845
dense_observations,far-wake,field,p,rel_L2,0.03862603381276131
dense_observations,far-core,field,u,rel_L2,0.01101873442530632
dense_observations,far-core,field,v,rel_L2,0.051149044185876846
dense_observations,far-core,field,p,rel_L2,0.03806442767381668
dense_observations,other,field,u,rel_L2,0.01554125640541315
dense_observations,other,field,v,rel_L2,0.029023269191384315
dense_observations,other,field,p,rel_L2,0.0482742115855217
dense_observations,whole-domain,field,u,rel_L2,0.00953542347997427
dense_observations,whole-domain,field,v,rel_L2,0.035622913390398026
dense_observations,whole-domain,field,p,rel_L2,0.014309391379356384
dense_observations,near-cylinder,v1_mode,v,n,13715
dense_observations,near-cylinder,v1_mode,v,rel_L2,0.06657526127797751
dense_observations,near-cylinder,v1_mode,v,amp_ratio,0.9827298626073138
dense_observations,near-cylinder,v1_mode,v,corr,0.9979052572744116
dense_observations,near-cylinder,v1_mode,v,phase_deg,-0.23767694193520655
dense_observations,near-wake,v1_mode,v,n,15248
dense_observations,near-wake,v1_mode,v,rel_L2,0.0070473260759782155
dense_observations,near-wake,v1_mode,v,amp_ratio,0.9997801193904149
dense_observations,near-wake,v1_mode,v,corr,0.9999758327901721
dense_observations,near-wake,v1_mode,v,phase_deg,0.06515064692350976
dense_observations,far-wake,v1_mode,v,n,16393
dense_observations,far-wake,v1_mode,v,rel_L2,0.005595857552085995
dense_observations,far-wake,v1_mode,v,amp_ratio,0.9987583647133436
dense_observations,far-wake,v1_mode,v,corr,0.9999884019585417
dense_observations,far-wake,v1_mode,v,phase_deg,0.14734011436540054
dense_observations,far-core,v1_mode,v,n,12460
dense_observations,far-core,v1_mode,v,rel_L2,0.005388283182847069
dense_observations,far-core,v1_mode,v,amp_ratio,0.9988140121437287
dense_observations,far-core,v1_mode,v,corr,0.9999895064533598
dense_observations,far-core,v1_mode,v,phase_deg,0.1480052477274558
dense_observations,other,v1_mode,v,n,6298
dense_observations,other,v1_mode,v,rel_L2,0.198100615848264
dense_observations,other,v1_mode,v,amp_ratio,0.9987205588786894
dense_observations,other,v1_mode,v,corr,0.9806191254196372
dense_observations,other,v1_mode,v,phase_deg,1.3329789103194063
dense_observations,whole-domain,v1_mode,v,n,51654
dense_observations,whole-domain,v1_mode,v,rel_L2,0.009886067237738888
dense_observations,whole-domain,v1_mode,v,amp_ratio,0.9988959850512018
dense_observations,whole-domain,v1_mode,v,corr,0.999953787816969
dense_observations,whole-domain,v1_mode,v,phase_deg,0.11739313976216759
