region,field,raw_rel_L2,raw_corr,raw_MAC,oracle_rel_L2,oracle_corr,oracle_MAC,oracle_gain_abs,oracle_phase_deg
near-cylinder,u1,1.0147110144285176,0.0500101148424544,0.002501011586555478,1.0298456195522758,0.05001011484245441,0.002501011586555479,1.0442443757512982,116.43853102208608
near-cylinder,v1,1.372999671351019,0.7216880360629687,0.5208336213964249,0.6924770554356979,0.7216880360629689,0.5208336213964252,1.0442443757512982,116.43853102208608
near-wake,u1,0.9590536951856854,0.3501153361101207,0.12258074857950278,0.9658109767017778,0.3501153361101208,0.12258074857950285,0.8580750413012118,24.927266099783726
near-wake,v1,0.6971806922662847,0.8422966300050702,0.7094636129178981,0.5452762482921072,0.8422966300050704,0.7094636129178984,0.8580750413012118,24.927266099783726
far-wake,u1,0.678256938169911,0.7385432702540357,0.5454461620375255,0.7058717278244419,0.7385432702540357,0.5454461620375255,1.1497638548627263,-4.229543903745511
far-wake,v1,0.2843731414131678,0.9767897481142807,0.9541182120211599,0.22004237371217156,0.9767897481142805,0.9541182120211597,1.1497638548627263,-4.229543903745511
whole-wake,u1,0.838289597362905,0.559927224439517,0.31351849666854126,0.8412605841558906,0.5599272244395169,0.31351849666854115,1.0145293306183916,4.4650868750148565
whole-wake,v1,0.4580366780758736,0.8939786243005756,0.7991977807063497,0.45000470235627305,0.893978624300576,0.7991977807063503,1.0145293306183916,4.4650868750148565
active-wake,u1,0.8381829097517404,0.5595803127099127,0.3131301263725237,0.8412084222634398,0.5595803127099127,0.3131301263725237,1.016581052920684,4.585841297319425
active-wake,v1,0.45732164928189134,0.8945188754613084,0.8001640185565637,0.44886535750112266,0.8945188754613088,0.8001640185565645,1.016581052920684,4.585841297319425
active-far-wake,u1,0.6783513844245281,0.7384964461568521,0.5453770009863003,0.7061038324122291,0.7384964461568518,0.5453770009862999,1.1499291849560511,-4.198152601943191
active-far-wake,v1,0.28399746067026954,0.9768947358218921,0.9543233248765244,0.21958714826920844,0.976894735821892,0.9543233248765242,1.1499291849560511,-4.198152601943191
