r,whole_Eu,whole_Ev,whole_Ep,near_cyl_Eu,near_cyl_Ev,near_cyl_Ep,near_wake_Eu,near_wake_Ev,near_wake_Ep,far_wake_Eu,far_wake_Ev,far_wake_Ep
2,0.03326049950566614,0.1582351454751985,0.05468195121089596,0.0028612700948467016,0.00840543332137186,0.00628607745576865,0.02866676921761584,0.11137617459625615,0.061503131986493154,0.04572486552967978,0.2373089555800026,0.22350141305831392
3,0.03675207764536661,0.1711106116843877,0.061182447715277574,0.003832642888204421,0.011233481042371223,0.002150015623251754,0.03300713858055202,0.11225629211132415,0.06821780818008945,0.04967754165342574,0.25854970079655,0.2527485563180389
4,0.013125960460271388,0.09410910207706455,0.01337257473681991,0.00026258184084079696,0.0005272823313448713,0.00036732702137237444,0.010052661217096122,0.04126669128860305,0.009140857263054726,0.018764899995223225,0.14624112797635694,0.06379613628525047
6,0.005414392842416746,0.031206347944649743,0.006101636921937498,2.288508148754771e-05,6.736481547317361e-05,1.569247758534704e-05,0.0043753083786489,0.017804821135794856,0.003175498031285059,0.007616970184593275,0.047766205285235425,0.03002278440924478
8,0.0022921376415313863,0.01407131517862498,0.0020520982439134533,1.1171020838707699e-06,3.045593450426148e-06,1.1621668366805711e-06,0.0019544884658760976,0.008732096905180738,0.0012384202206420928,0.003165236303338953,0.021390160238085175,0.009953617244190766
10,0.0011719600494744437,0.006421220345835336,0.0009113107206445429,4.151237687281564e-07,1.292464954312169e-06,3.1432525967207786e-07,0.0009417725756793427,0.004293568077114458,0.0005487281126880175,0.0016516569232526493,0.009690159092055844,0.004421402739558817
