arm,region,v1_rel_L2,v1_corr,v1_amp_ratio
baseline,near-wake,0.9982445322873316,0.23188179667215542,0.04588670291422807
baseline,far-wake,1.0001045735632823,0.07577038278368921,0.01522684716186349
baseline,far-core,0.9998335085390316,0.08762344294033038,0.012726324556313536
radial_v1,near-wake,0.7273325286183012,0.8109071574720429,0.679061087345302
radial_v1,far-wake,0.2935087251019264,0.9696674535638012,0.827507334728106
radial_v1,far-core,0.28673878593397334,0.9720517821698281,0.8259089472459887
